,city,company,salary,summary,title
2524,Austin,University of Texas at Austin,8541.5,"Lead a small development team in the design, implementation, and maintenance of software applications used for geodetic data analysis....",Engineering Scientist - Geospatial Application Software Deve...
2525,Austin,University of Texas at Austin,3210.0,Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...
2526,Austin,University of Texas at Austin,5950.0,"Thorough understanding of object-oriented programming concepts, data structures/design patterns/algorithm performance analysis....",Engineering Scientist Associate - Software Engineering Assoc...
2527,Austin,Emoters Robotics,85000.0,"At Emoters, we’re developing tiny, autonomous robots that interact with their users much like pets. These robots are being designed to be lifelike, exhibit","Robotics software engineer (involves machine learning, AI, a..."
2528,Austin,University of Texas at Austin,5950.0,"Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution / acquisition and low-rate...",Engineering Scientist Associate - Software Defined Radio Rec...
2529,Austin,University of Texas at Austin,8541.5,"Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution/acquisition and low-rate...",Engineering Scientist - Senior Software Defined Radio Receiv...
2530,Austin,University of Texas at Austin,3210.0,Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...
2531,Austin,University of Texas at Austin,5950.0,"Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution / acquisition and low-rate...",Engineering Scientist Associate - Software Defined Radio Rec...
2532,Austin,University of Texas at Austin,8541.5,"Experience with digital data distribution techniques including middlewares. Control, interface with hardware, data distribution/acquisition and low-rate...",Engineering Scientist - Senior Software Defined Radio Receiv...
2533,Austin,University of Texas at Austin,3210.0,Ability to interpret CT data as applicable to fossil preparation and collections activities. To improve the Jackson School Museum of Earth History Paleontology...,Research Engineering/ Scientist Associate II - Paleontology...
2534,Austin,University of Texas at Austin,8541.5,"Lead a small development team in the design, implementation, and maintenance of software applications used for geodetic data analysis....",Engineering Scientist - Geospatial Application Software Deve...
